"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Radio-checkbox","","0","0","1","0","0"
"","Radio-checkbox","Validate Radio checkboxes in wdio","0","0","0","0","1"
