"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 15 17:43:16 IST 2023","Sat Jul 15 17:43:22 IST 2023","5111","","Radio-checkbox","","","","multi select",""
"unknown","Sat Jul 15 17:43:13 IST 2023","Sat Jul 15 17:43:22 IST 2023","9051","","Radio-checkbox","","","","radio",""
